text1,text2,label,idx,label_text,global_idx
Jim signaled the barman and gestured toward his bathroom key.,Jim signaled the barman and gestured toward Jim's bathroom key.,0,242,not entailment,1000242
The sculpture rolled off the shelf because it wasn't anchored.,The sculpture wasn't anchored.,1,279,entailment,1000279
Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,The door of the shop closed after Mark.,0,75,not entailment,1000075
"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.",Sally had such a bad start.,1,634,entailment,1000634
The foxes are getting in at night and attacking the chickens. They have gotten very bold.,The foxes have gotten very bold.,1,18,entailment,1000018
The storekeepers stayed in town to run their stores and lived in the rooms behind them.,The storekeepers stayed in town to run their stores and lived in the rooms behind the storekeepers.,0,323,not entailment,1000323
I couldn't put the pot on the shelf because it was too tall.,The shelf was too tall.,0,244,not entailment,1000244
The delivery truck zoomed by the school bus because it was going so fast.,The delivery truck was going so fast.,1,445,entailment,1000445
"If the con artist has succeeded in fooling Sam, he would have lost a lot of money.",Sam would have lost a lot of money.,1,258,entailment,1000258
Of one thing Mark was sure. Harry knew much less than he did.,Harry knew much less than Mark did.,1,164,entailment,1000164
"Tatyana managed two guitars and a bag, and still could point out the Freemans: ""Isn't it nice that they have come, Mama!""","Isn't it nice that the Freemans have come, Mama!""",1,318,entailment,1000318
"The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.","Each artisan still had signs, not wishing to lose a possible patron merely because the patron happened to be illiterate.",1,334,entailment,1000334
Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.,Tom reached the bottom of the stairs.,0,527,not entailment,1000527
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","mother was careful not to disturb her, undressing and climbing back into her berth.",0,4,not entailment,1000004
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her , undressing and climbing back into her berth.","She was careful not to disturb Tatyana , undressing and climbing back into her berth.",0,429,not entailment,1000429
Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.,Mama stroked her hair and let the child weep.,1,97,entailment,1000097
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.",Amy's parents are fifteen.,0,431,not entailment,1000431
John was doing research in the library when he heard a man humming and whistling. He was very annoyed.,John was very annoyed.,1,170,entailment,1000170
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.",Adam would be gone by this time.,1,299,entailment,1000299
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.",There were simply not enough chairs.,0,509,not entailment,1000509
"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of ink.",The pen got full of ink.,0,137,not entailment,1000137
Sam's drawing was hung just above Tina's and it did look much better with another one above it.,Sam's drawing did look much better with another one above it.,0,439,not entailment,1000439
"Joe's uncle can still beat him at tennis, even though he is 30 years older.",Joe is 30 years older.,0,26,not entailment,1000026
"Susan knew that Ann's son had been in a car accident, so she told her about it.",Susan told her about it.,1,266,entailment,1000266
The trophy doesn't fit into the brown suitcase because it is too large.,The suitcase is too large.,0,25,not entailment,1000025
"Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was quicker.","Dan took the rear seat while Bill claimed the front because Dan's ""Dibs!"" was quicker.",0,217,not entailment,1000217
"The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.","Beside the food there were crocks, baskets, and a five-quart pail of milk.",0,424,not entailment,1000424
Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.,She stroked Alice's hair and let the child weep.,1,342,entailment,1000342
Madonna fired her trainer because she slept with her boyfriend.,The trainer slept with her boyfriend.,1,293,entailment,1000293
"When they had eventually calmed down a bit, and had gotten home, Mr. Farley put the magic pebble in an iron safe. Some day they might want to use it , but really for now, what more could they wish for?",Some day they might want to use the magic pebble.,1,549,entailment,1000549
"We went to the lake, because a shark had been seen at the ocean beach, so it was a dangerous place to swim.",The lake was a dangerous place to swim.,0,440,not entailment,1000440
Bill passed the half-empty plate to John because he was hungry.,Bill was hungry.,0,515,not entailment,1000515
I'm sure that my map will show this building; it is very good.,The map is very good.,1,172,entailment,1000172
"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.",Even one thread uncut will leave the slip too small.,0,207,not entailment,1000207
"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was too hard to pronounce.",Tina was too hard to pronounce.,0,474,not entailment,1000474
"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of coffee.",The coffee got full of coffee.,0,284,not entailment,1000284
"Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.",It was bad enough that the children had to be denied so many things because he couldn't afford them.,1,554,entailment,1000554
"As Andrea in the crop duster passed over Susan, she could see the landing gear.",Andrea could see the landing gear.,0,341,not entailment,1000341
Susan knows all about Ann's personal problems because she is nosy.,Susan is nosy.,1,481,entailment,1000481
Sid explained his theory to Mark but he couldn't convince him.,Mark couldn't convince him.,0,229,not entailment,1000229
Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.,He will be moving into The new house on Thursday.,1,36,entailment,1000036
Sid explained his theory to Mark but he couldn't understand him.,Mark couldn't understand him.,1,617,entailment,1000617
This book introduced Shakespeare to Goethe; it was a fine selection of his writing.,It was a fine selection of Goethe's writing.,0,465,not entailment,1000465
"Mary tucked her daughter Anne into bed, so that she could work.","Mary tucked her daughter Anne into bed, so that Mary could work.",1,282,entailment,1000282
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.",Bob would be gone by this time.,0,500,not entailment,1000500
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so stupid.,The judges were so stupid.,1,251,entailment,1000251
"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make fewer of them.",We should make fewer of the chocolate chip cookies.,1,371,entailment,1000371
"Lily spoke to Donna, breaking her silence.","Lily spoke to Donna, breaking Lily's silence.",1,275,entailment,1000275
Steve follows Fred's example in everything. He admires him hugely.,Steve admires him hugely.,1,427,entailment,1000427
The foxes are getting in at night and attacking the chickens. I shall have to guard them.,I shall have to guard The foxes.,0,403,not entailment,1000403
"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",Dad could not help him now.,0,14,not entailment,1000014
The firemen arrived before the police because they were coming from so far away.,The firemen were coming from so far away.,0,162,not entailment,1000162
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.",Archaeologists hunted for evidence on the river banks.,1,287,entailment,1000287
"Jackson was greatly influenced by Arnold, though he lived two centuries earlier.",Arnold lived two centuries earlier.,1,40,entailment,1000040
Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.,She writes the article when she gets home from work.,1,406,entailment,1000406
"Beth didn't get angry with Sally, who had cut her off, because she stopped and apologized.",Beth stopped and apologized.,0,517,not entailment,1000517
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.","Later, he and Tatyana would shell them and cook them for his and Tatyana's Sunday dinners.",1,326,entailment,1000326
"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of ink.",The coffee got full of ink.,1,134,entailment,1000134
"Mark became absorbed in Blaze, the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.",Blaze was afraid the stable boys at the Burlington Stables struck at him and bullied him.,0,510,not entailment,1000510
"Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.",Chester no longer requires his financial support.,0,415,not entailment,1000415
"I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like telephone poles.",The lemon trees came out looking more like telephone poles.,1,183,entailment,1000183
John was doing research in the library when he heard a man humming and whistling. He was very annoying.,The man was very annoying.,1,505,entailment,1000505
The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.,The customer was immediately taken to the hospital.,0,95,not entailment,1000095
"Even before they reached town, they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.",Dora asked what the corn was.,0,526,not entailment,1000526
"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it out.",I couldn't get the key out.,0,352,not entailment,1000352
"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.",Sue had such a bad start.,0,53,not entailment,1000053
Jim yelled at Kevin because he was so upset.,Kevin was so upset.,0,455,not entailment,1000455
Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.,Paul's books are popular because Paul writes so well.,1,373,entailment,1000373
"George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.",George was particularly eager to see it.,1,491,entailment,1000491
"I used an old rag to clean the knife, and then I put it in the trash.",I put the knife in the trash.,0,624,not entailment,1000624
Jane knocked on Susan's door but she did not get an answer.,Jane did not get an answer.,1,479,entailment,1000479
Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.,Ray reached the bottom of the stairs.,1,389,entailment,1000389
"Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.",Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.,0,17,not entailment,1000017
Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.,Anna had studied so hard.,0,328,not entailment,1000328
I put the butterfly wing on the table and it broke.,The butterfly wing broke.,1,225,entailment,1000225
Anne gave birth to a daughter last month. She is a very charming baby.,Anne is a very charming baby.,0,528,not entailment,1000528
Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.,He will be moving out of The old house on Thursday.,1,74,entailment,1000074
"John ordered Bill to leave, so an hour later he left.",Bill left.,1,568,entailment,1000568
"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it out.",I couldn't get the chewing gum out.,1,298,entailment,1000298
What about the time you cut up tulip bulbs in the hamburgers because you thought they were onions?,You thought tulip bulbs were onions?,1,120,entailment,1000120
"The sack of potatoes had been placed above the bag of flour, so it had to be moved first.",The bag of flour had to be moved first.,0,152,not entailment,1000152
The large ball crashed right through the table because it was made of steel.,The large ball was made of steel.,1,27,entailment,1000027
Jim signaled the barman and gestured toward his empty glass.,Jim signaled the barman and gestured toward Jim's empty glass.,1,485,entailment,1000485
Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.,People are popular because Paul writes so well.,0,609,not entailment,1000609
Fred watched TV while George went out to buy groceries. After an hour he got up.,George got up.,0,426,not entailment,1000426
John was jogging through the park when he saw a man juggling watermelons. He was very impressed.,John was very impressed.,1,138,entailment,1000138
"Joe's uncle can still beat him at tennis, even though he is 30 years younger.",Joe's uncle is 30 years younger.,0,436,not entailment,1000436
Bill passed the half-empty plate to John because he was hungry.,John was hungry.,1,44,entailment,1000044
The man lifted the boy onto his shoulders.,The man lifted the boy onto the man's shoulders.,1,112,entailment,1000112
Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his childhood.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Xenophanes faced in his childhood.,1,545,entailment,1000545
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.",Amy's parents are snobs.,1,43,entailment,1000043
James asked Robert for a favor but he was refused.,James was refused.,1,274,entailment,1000274
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","She was careful not to disturb her, undressing and climbing back into Tatyana's berth.",1,484,entailment,1000484
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.",Now I have to get The tree removed.,1,188,entailment,1000188
"I sat there feeling rather like a chappie I'd once read about in a book, who murdered another cove and hid the body under the dining-room table, and then had to be the life and soul of a dinner party, with it there all the time.","He had to be the life and soul of a dinner party, with the body there all the time.",1,239,entailment,1000239
Emma did not pass the ball to Janie although she was open.,She saw that Janie was open.,1,89,entailment,1000089
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.,Bob was very concerned.,0,450,not entailment,1000450
Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,The door of the shop closed after Steve.,1,48,entailment,1000048
"The dog chased the cat, which ran up a tree. It waited at the bottom.",The dog waited at the bottom.,1,156,entailment,1000156
Carol believed that Rebecca regretted that she had stolen the watch.,Carol believed that Rebecca regretted that Rebecca had stolen the watch.,1,173,entailment,1000173
"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.",Bob is very hurt.,1,300,entailment,1000300
Jim signaled the barman and gestured toward his empty glass.,Jim signaled the barman and gestured toward The barman's empty glass.,0,422,not entailment,1000422
"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.",Kamchatka was defeated within weeks.,1,292,entailment,1000292
The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They appeared two years ago.,The scientists appeared two years ago.,0,360,not entailment,1000360
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.","The piano was broken, so he had to stand instead.",0,19,not entailment,1000019
Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.,She reads the article when she gets home from work.,0,47,not entailment,1000047
I put the heavy book on the table and it broke.,The table broke.,1,563,entailment,1000563
Sid explained his theory to Mark but he couldn't convince him.,Sid couldn't convince him.,1,193,entailment,1000193
"The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.","Each artisan still had signs, not wishing to lose a possible patron merely because the artisan happened to be illiterate.",0,571,not entailment,1000571
The foxes are getting in at night and attacking the chickens. I shall have to guard them.,I shall have to guard The chickens.,1,305,entailment,1000305
"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was gone.",The sun was gone.,0,483,not entailment,1000483
Anna did a lot better than her good friend Lucy on the test because she had studied so hard.,Anna had studied so hard.,1,65,entailment,1000065
I took the water bottle out of the backpack so that it would be handy.,I took the water bottle out of the backpack so that the backpack would be handy.,0,12,not entailment,1000012
Men had the right to keep their sons working for them until they were 21 years of age.,Men had the right to keep their sons working for them until the men were 21 years of age.,0,370,not entailment,1000370
Mary took out her flute and played one of her favorite pieces. She has had it since she was a child.,She has had the flute since she was a child.,1,302,entailment,1000302
The table won't fit through the doorway because it is too wide.,The table is too wide.,1,401,entailment,1000401
The man lifted the boy onto his shoulders.,The man lifted the boy onto the boy's shoulders.,0,551,not entailment,1000551
"The older students were bullying the younger ones, so we punished them.",We punished the younger students.,0,608,not entailment,1000608
I took the water bottle out of the backpack so that it would be lighter.,I took the water bottle out of the backpack so that the water bottle would be lighter.,0,143,not entailment,1000143
Frank was upset with Tom because the toaster he had bought from him didn't work.,The toaster Frank had bought from him didn't work.,1,399,entailment,1000399
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.","The chair was broken, so he had to stand instead.",1,62,entailment,1000062
"I stuck a pin through a carrot. When I pulled the pin out, it left a hole.",The pin left a hole.,1,338,entailment,1000338
"Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.",The captain and all the captain's crew had best stay in the cabin until the work was over.,1,419,entailment,1000419
Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.,Paul's books are gripped because Paul writes so well.,0,454,not entailment,1000454
The storekeepers stayed in town to run their stores and lived in the rooms behind them.,The storekeepers stayed in town to run their stores and lived in the rooms behind the stores.,1,453,entailment,1000453
"George got free tickets to the play, but he gave them to Eric, because he was not particularly eager to see it.",George was not particularly eager to see it.,1,380,entailment,1000380
"I used an old rag to clean the knife, and then I put it in the trash.",I put the rag in the trash.,1,295,entailment,1000295
"Ann asked Mary what time the library closes, but she had forgotten.",Ann had forgotten.,0,612,not entailment,1000612
John couldn't see the stage with Billy in front of him because he is so short.,Billy is so short.,0,379,not entailment,1000379
Frank was upset with Tom because the toaster he had sold him didn't work.,The toaster Tom had sold him didn't work.,1,556,entailment,1000556
The foxes are getting in at night and attacking the chickens. They have gotten very nervous.,The chickens have gotten very nervous.,1,290,entailment,1000290
"Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was slow.","Dan took the rear seat while Bill claimed the front because Bill's ""Dibs!"" was slow.",0,400,not entailment,1000400
Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.,My great-grandfather was a remarkable man.,1,67,entailment,1000067
"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.",Alice was behaving so strangely.,1,333,entailment,1000333
"Susan knew that Ann's son had been in a car accident, because she told her about it.",Ann told her about it.,1,423,entailment,1000423
"Pam's parents came home and found her having sex with her boyfriend, Paul. They were embarrassed about it.",Pam and Paul were embarrassed about it.,1,350,entailment,1000350
I put the cake away in the refrigerator. It has a lot of butter in it.,The refrigerator has a lot of butter in it.,0,307,not entailment,1000307
"Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful.","Mr. Schmidt needed to get him to finish his work, because his work was beautiful.",0,441,not entailment,1000441
The father carried the sleeping boy in his arms.,The father carried the sleeping boy in the boy's arms.,0,263,not entailment,1000263
"In the middle of the outdoor concert, the rain started falling, but it continued until 10.",The concert continued until 10.,1,508,entailment,1000508
Thomson visited Cooper's grave in 1765. At that date he had been travelling for five years.,Cooper had been travelling for five years.,0,83,not entailment,1000083
"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was short, so it worked out.","The meeting was short, so it worked out.",1,392,entailment,1000392
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.,Bob was very ill.,1,103,entailment,1000103
The foxes are getting in at night and attacking the chickens. I shall have to kill them.,I shall have to kill The chickens.,0,150,not entailment,1000150
James asked Robert for a favor but he refused.,Robert refused.,1,283,entailment,1000283
Pete envies Martin because he is very successful.,Pete is very successful.,0,324,not entailment,1000324
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.",Mark should have been more skeptical.,0,222,not entailment,1000222
"Lily spoke to Donna, breaking her concentration.","Lily spoke to Donna, breaking Donna's concentration.",1,52,entailment,1000052
Thomson visited Cooper's grave in 1765. At that date he had been travelling for five years.,Thomson had been travelling for five years.,1,584,entailment,1000584
I couldn't put the pot on the shelf because it was too high.,The shelf was too high.,1,68,entailment,1000068
Tom gave Ralph a lift to school so he wouldn't have to walk.,Ralph wouldn't have to walk.,1,396,entailment,1000396
"Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.",He heard Mark calling for the captain.,0,506,not entailment,1000506
"Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like dogs.",The sheep ended up looking more like dogs.,1,160,entailment,1000160
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.,Bill was the winner of the competition.,0,444,not entailment,1000444
Fred watched TV while George went out to buy groceries. After an hour he got back.,George got back.,1,51,entailment,1000051
"Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.",He heard Mr. Singer calling for the captain.,1,243,entailment,1000243
The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the police station.,The customer was immediately taken to the police station.,1,463,entailment,1000463
Joe paid the detective after he delivered the final report on the case.,The detective delivered the final report on the case.,1,478,entailment,1000478
The delivery truck zoomed by the school bus because it was going so fast.,The school bus was going so fast.,0,140,not entailment,1000140
"Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.","Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that the government official had done anything dishonest.",0,575,not entailment,1000575
"Stretching her back, the woman smiled at the girl.","Stretching the girl's back, the woman smiled at the girl.",0,286,not entailment,1000286
Bill passed the half-empty plate to John because he was full.,Bill was full.,1,85,entailment,1000085
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.",Sam and Amy are fifteen.,1,629,entailment,1000629
"They broadcast an announcement, but a subway came into the station and I couldn't hear it.",I couldn't hear the announcement.,1,553,entailment,1000553
The painting in Mark's living room shows an oak tree. It is to the right of a house.,The painting is to the right of a house.,0,361,not entailment,1000361
"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.",He changed his mind and turned the TV on.,0,123,not entailment,1000123
"We went to the lake, because a shark had been seen at the ocean beach, so it was a safer place to swim.",The ocean beach was a safer place to swim.,0,555,not entailment,1000555
"Tom said ""Check"" to Ralph as he took his bishop.","Tom said ""Check"" to Ralph as he took Tom's bishop.",0,632,not entailment,1000632
"Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.",It was bad enough that the faces had to be denied so many things because he couldn't afford them.,0,151,not entailment,1000151
Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.,People are gripped because Paul writes so well.,1,438,entailment,1000438
"If the con artist has succeeded in fooling Sam, he would have lost a lot of money.",The con artist would have lost a lot of money.,0,175,not entailment,1000175
"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were victorious within weeks.",Yakutsk was victorious within weeks.,1,367,entailment,1000367
"During a game of tag, Ethan chased Luke because he was ""it"".","Ethan was ""it"".",1,202,entailment,1000202
"Tatyana managed two guitars and a bag, and still could point out the Freemans: ""Isn't it nice that they have come, Mama!""","Isn't it nice that the two guitars and a bag have come, Mama!""",0,387,not entailment,1000387
"Mary tucked her daughter Anne into bed, so that she could sleep.","Mary tucked her daughter Anne into bed, so that Mary could sleep.",0,368,not entailment,1000368
"Sam took French classes from Adam, because he was eager to speak it fluently.",Sam was eager to speak it fluently.,1,458,entailment,1000458
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.","When Fred first saw my father, My father was twelve months old.",1,273,entailment,1000273
There is a gap in the wall. You can see the garden through it.,You can see the garden through the gap.,1,558,entailment,1000558
"As Andrea in the crop duster passed over Susan, she could see the landing strip.",Andrea could see the landing strip.,1,232,entailment,1000232
"During a game of tag, Ethan ran from Luke because he was ""it"".","Ethan was ""it"".",0,351,not entailment,1000351
"Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: ""There's plenty.""","Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Grandma to the table.",0,50,not entailment,1000050
Mr. Taylor was a man of uncertain temper and his general tendency was to think that David was a poor chump and that whatever step he took in any direction on his own account was just another proof of his innate idiocy.,Any direction on his own account was just another proof of Mr. Taylor's innate idiocy.,0,363,not entailment,1000363
"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.",Even one thread uncut will leave the scissors too small.,0,209,not entailment,1000209
Joan made sure to thank Susan for all the help she had given.,Joan made sure to thank Susan for all the help Susan had given.,1,168,entailment,1000168
Emma did not pass the ball to Janie although she saw that she was open.,Emma saw that she was open.,1,98,entailment,1000098
"By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.",How very small and straight and rigid Tatyana lay in the bunk below!,0,539,not entailment,1000539
"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was delayed, so it worked out.","The meeting was delayed, so it worked out.",0,223,not entailment,1000223
The large ball crashed right through the table because it was made of styrofoam.,The table was made of styrofoam.,1,297,entailment,1000297
"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked it down.",This afternoon the tide knocked The flag down.,0,93,not entailment,1000093
"Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under his wing, and quickly molds him into a drug runner.","His father's disciple, Antonio, takes Larry under his wing, and quickly molds Larry's father into a drug runner.",0,259,not entailment,1000259
"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.",Alice was behaving so strangely.,0,595,not entailment,1000595
"Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.",Edward no longer requires his financial support.,1,204,entailment,1000204
Dr. Adams informed Kate that she had retired and presented several options for future treatment.,Dr. Adams had retired and presented several options for future treatment.,1,591,entailment,1000591
Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.,He will be moving out of The new house on Thursday.,0,343,not entailment,1000343
Dan had to stop Bill from toying with the injured bird. He is very cruel.,Dan is very cruel.,0,277,not entailment,1000277
Billy cried because Toby wouldn't accept his toy.,Billy cried because Toby wouldn't accept Billy's toy.,1,471,entailment,1000471
There is a gap in the wall. You can see the garden behind it.,You can see the garden through the gap.,0,546,not entailment,1000546
Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.,Alice stroked her hair and let the child weep.,0,237,not entailment,1000237
Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.,She stroked Mama's hair and let the child weep.,0,344,not entailment,1000344
The father carried the sleeping boy in his bassinet.,The father carried the sleeping boy in the father's bassinet.,0,216,not entailment,1000216
"Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.",He no longer requires Mr. Moncrieff's financial support.,1,359,entailment,1000359
The painting in Mark's living room shows an oak tree. It is to the right of a house.,The oak tree is to the right of a house.,1,492,entailment,1000492
"The path to the lake was blocked, so we couldn't use it.",We couldn't use the path.,1,285,entailment,1000285
The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.,The gang members were trying to stop the drug trade in the neighborhood.,0,362,not entailment,1000362
"As Andrea in the crop duster passed over Susan, she could see the landing strip.",Susan could see the landing strip.,0,233,not entailment,1000233
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.",Adam would have won.,0,21,not entailment,1000021
The fish ate the worm. It was tasty.,The worm was tasty.,1,231,entailment,1000231
Jane gave Joan candy because she wasn't hungry.,Joan wasn't hungry.,0,410,not entailment,1000410
"Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.","Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that Bernard had done anything dishonest.",1,559,entailment,1000559
"In the middle of the outdoor concert, the rain started falling, but it continued until 10.",The rain continued until 10.,0,398,not entailment,1000398
"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.",He changed his mind and turned the dishwasher on.,1,148,entailment,1000148
"Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.","Since Jade always wears a red turban, Alice spotted her quickly.",1,446,entailment,1000446
