sentence,label,idx,global_idx
No changes in media activity were seen in October compared with September .,1,1307,1001307
"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",2,2690,1002690
"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden .",1,1473,1001473
"The mill 's raw material need will increase by 100,000 m3 of wood .",1,5286,1005286
"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .",2,6543,1006543
GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .,1,11163,1011163
The reductions will be implemented mainly in the course of the first half of 2009 .,1,8592,1008592
"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",1,9378,1009378
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 23.4.2007 Ahlstrom Corporation will publish its first quarter financial results 2007 on Friday , April 27 , 2007 approximately at 8.30 a.m. Finnish time .",1,4124,1004124
The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,1,1731,1001731
"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .",2,6517,1006517
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",1,11428,1011428
Aspo 's Group structure and business operations are continually developed without any predefined schedules .,1,12751,1012751
"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",2,5765,1005765
"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .",1,501,1000501
The rebuilds are designed to improve the machines ' performance and product quality .,2,6413,1006413
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",2,3514,1003514
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,2,2430,1002430
"Based on the 2005 calendar year the combined company had EUR15 .8 bn in pro forma annual revenues and is expected to start operations with 60,000 employees .",1,8776,1008776
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",0,3403,1003403
"The product advisory does not apply to any other Nokia-branded battery , the company said .",1,13268,1013268
Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .,1,1597,1001597
"The platform is based built on Intel s second-generation MID platform , called Moorestown .",1,4040,1004040
"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .",1,11242,1011242
A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel .,0,5363,1005363
Delivery will start immediately in June 2008 and will be completed in 2008 .,1,11449,1011449
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,1,11420,1011420
"Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml .",1,8360,1008360
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,2,158,1000158
The chain is to unite 45-50 centres by the end of 2008 .,1,12528,1012528
"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",1,14103,1014103
`` Lemminkainen Talo Oy 's Lahti office is a significant logistics and business premises constructor .,1,8720,1008720
"Viking Line has also been forced to alter its timetable so that ferries traveling from Stockholm to Helsinki , Finland , only depart at night .",1,14300,1014300
"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .",0,11082,1011082
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,1,644,1000644
It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,1,3300,1003300
"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",2,2503,1002503
"The Finnish business delegation includes representatives from over 20 companies that include Nokia Corp , Finnfund , Outokumpu Oyj , OKO Bank , Alteams Oy and Cargotec Corp. .",1,4005,1004005
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .,1,12655,1012655
Aspocomp has repaid its interest bearing liability to Standard Chartered Bank and will use the rest of the consideration to partially repay its interest bearing liabilities in Finland and to improve its liquidity .,2,11649,1011649
Altogether Finnair has canceled over 500 flights because of the strike .,0,9672,1009672
"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",1,13741,1013741
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",0,13977,1013977
"In addition , the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections .",1,12415,1012415
"A total of 131000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between May 1 , 2010 and June 30 , 2010 under the company 's stock option rights 2007A .",1,12672,1012672
"Metso Foundries Jyvaskyla , Inc. will begin personnel negotiations on temporary lay-offs and personnel reductions in Jyvaskyla , Finland .",0,12963,1012963
"To see more of New Haven Register , or to subscribe to the newspaper .",1,7129,1007129
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",1,14746,1014746
"Currently , the company uses eight similar reach stackers and four empty container handlers by Konecranes .",1,1619,1001619
"The study is expected to provide proof of pharmacodynamic activity in humans , corroborate the safety profile and establish dose ranges for further therapeutic studies .",1,8616,1008616
`` We have the most expensive water brand in Finland at the moment . '',1,9326,1009326
"`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .",2,2808,1002808
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",0,13995,1013995
The program 's target is structural cost reductions of about EUR 30mn in 2009 .,2,10600,1010600
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",0,1885,1001885
"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -¦ s shares and voting rights .",1,7716,1007716
Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .,1,1626,1001626
"Finnish financial software developer Basware Oyj said today it will provide its invoice automation ( IA ) solution to an unnamed major retail company in the USA in a deal , worth more than EUR300 ,000 .",2,7469,1007469
The medium-term operative targets of the company remain unchanged .,1,1460,1001460
Finnish energy company Fortum has set itself new stricter target limits for short-term carbon dioxide emissions from its heat and electricity production .,1,5226,1005226
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",2,105,1000105
It is expected to be completed by the end of 2007 .,1,566,1000566
Affecto has participated in the program for the development of the Norwegian pension system since 2007 .,1,8071,1008071
"Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY .",1,12937,1012937
"Elisa Corporation , headquartered in Helsinki , is a Finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services .",1,11147,1011147
"The Group , with net sales of EUR 235 million in 2009 , employs more than 2 000 people in 33 countries .",1,3581,1003581
"Steve Jackson , eBusiness Analyst at Satama and former CEO of Aboavista said : `` Google broke the mold when they gave away Google Analytics for free .",1,14449,1014449
"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .",0,5701,1005701
Operating profit margin increased from 11.2 % to 11.7 % .,2,5822,1005822
The estimated annual value of the frame agreement is about EUR 50mn .,1,1774,1001774
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",2,2289,1002289
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",0,5707,1005707
Operating profit improved by 16.7 % to EUR 7.7 mn .,2,463,1000463
"Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+ñnge , by the turn of the month March-April 2008 .",1,8059,1008059
Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,0,5131,1005131
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",0,5137,1005137
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",2,10105,1010105
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .",1,11247,1011247
Self-service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .,2,7409,1007409
Finnish M-real 's Kyro mill is starting negotiations to cut staff .,0,14091,1014091
"A total of 131000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between May 1 , 2010 and June 30 , 2010 under the company 's stock option rights 2007A .",1,8044,1008044
"In accordance with our strategy , we strengthened our local presence by establishing a representative office in South Africa in October .",2,10785,1010785
"Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained .",1,6601,1006601
"Aspocomp Group , headquartered in Helsinki , Finland , develops interconnection solutions for the electronics industry .",1,1601,1001601
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,2,2347,1002347
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,2,6063,1006063
Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .,1,3865,1003865
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,2,6500,1006500
"This action follows personnel negotiations concerning Elcoteq SE , Finnish Branch , Elcoteq Finland Oy and Elcoteq Design Center Oy .",1,5346,1005346
The purchase sum is about EUR 10mn US$ 12.97 mn .,1,12604,1012604
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",1,8463,1008463
The insurer anticipates its share in Nordea 's net profit to be significant .,2,3583,1003583
Exel is headquartered in Mantyharju in Finland .,1,12383,1012383
The price will be specified at the completion date .,1,906,1000906
"`` EB Tough VoIP was designed to fulfill the communications needs of military units , and we continue to strive towards achieving that goal , '' Mikko Viitaniemi , EB Elektrobit Defense Products , Wireless Solutions senior manager , said in a statement .",1,14711,1014711
Incap Furniture is presently negotiating staff cuts .,0,14139,1014139
"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia .",2,11004,1011004
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",0,5584,1005584
Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m .,1,6089,1006089
"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",2,10049,1010049
"Pre-tax loss totaled EUR 0.3 mn , compared to a loss of EUR 2.2 mn in the first quarter of 2005 .",2,7533,1007533
"`` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement .",2,3714,1003714
"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass in safety glass machines and Albat + Wirsam in software solutions .",1,11166,1011166
The value of orders on hand totaled EUR 237.1 mn .,1,3588,1003588
The statutory negotiations at headquarters are part of this decrease .,1,14291,1014291
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",2,3541,1003541
CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,1,3052,1003052
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,1,1105,1001105
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,1,4852,1004852
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .,1,9090,1009090
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",2,5795,1005795
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",1,277,1000277
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,2,6038,1006038
The insurer anticipates its share in Nordea 's net profit to be significant .,2,7421,1007421
What we think ?,1,1565,1001565
The joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms .,1,6889,1006889
"The city will invite , however , a public procurement tender for the tailor-made public furniture , such as park benches , litter receptacles , public toilets , as well as bus shelters , street lights , and other .",1,8435,1008435
The company reiterates its outlook for 2009 .,1,8453,1008453
The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .,1,9412,1009412
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,2,2763,1002763
TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23.54 - 15.19 euro ) .,2,6496,1006496
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",0,5152,1005152
The company will be part of Teleste 's Video and Broadband Solutions business area .,1,1058,1001058
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",2,2795,1002795
"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",2,2617,1002617
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",1,6946,1006946
Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 .,0,9736,1009736
Aspo serves demanding business-to-business customers .,1,8113,1008113
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion .",0,9834,1009834
Finnish construction group Lemmink+ñinen has been awarded two road building contracts by the Lithuanian transport administration .,2,10737,1010737
Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .,2,10894,1010894
"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .",0,13981,1013981
The company is reportedly searching for a replacement for CEO Olli-Pekka Kallasvuo .,1,5275,1005275
Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .,1,272,1000272
"Sampo Group that has become a major shareholder in Nordea owns TrygVesta 's main competitor , If P & C Insurance .",1,8960,1008960
It is planned to set up the A class business center in the two top storeys of the complex .,1,3121,1003121
Ulefos Group is the leading supplier of manhole covers in the Nordic countries .,1,11380,1011380
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",2,11696,1011696
Rapala Fishing Frenzy 2009 .,1,5261,1005261
"This will be done domestically and in neighboring markets , both organically and through acquisitions .",1,13358,1013358
The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,1,13758,1013758
The project also implies an underground parking lot for 56 vehicles .,1,1490,1001490
The value of the orders is over EUR 10mn .,1,1535,1001535
"Nokia bought Chicago-based Navteq in 2008 , acquiring a maps database to compete with Google s maps as well as with navigation device companies such as TomTom NV and Garmin Ltd. .",2,7526,1007526
Performance is based on values and sustainability .,1,3147,1003147
"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",2,2881,1002881
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",0,9748,1009748
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,2,9969,1009969
The group 's 12-month operating profit grew 31 percent to 337.8 million euros .,2,10314,1010314
The arrangements do not apply to the group 's units outside Finland .,1,13098,1013098
"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October .",1,13301,1013301
"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters .",2,6198,1006198
"Continuing operations turned an operating loss of EUR 0.1 mn , a slight improvement from a loss of EUR 0.2 mn a year earlier .",2,9613,1009613
"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",1,10340,1010340
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",0,7156,1007156
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,0,5122,1005122
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",0,14312,1014312
"Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday .",2,10768,1010768
"According to HK Ruokatalo , almost all the meat used by the company comes from Finland .",1,1150,1001150
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",0,6306,1006306
The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .,2,731,1000731
"You need to be ready when the window opens up , Rosberg said .",1,11052,1011052
National sponsors for The Big Read include National Endowment for the Arts in cooperation with the Institute of Museum and Library Services and Arts Midwest .,1,576,1000576
HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. .,2,11714,1011714
"FL Group 's private equity division manages all operating companies , including Icelandair Group , FL Travel Group , Bluebird and Sterling .",1,4779,1004779
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",2,10106,1010106
"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",1,3850,1003850
"Tiimari 's registered share capital is 16,474,755 shares as per today .",1,1553,1001553
The electricity requirement of networks will grow with the new mobile generation .,1,4973,1004973
Sanoma will continue to focus on investing in digital media and on strengthening its market positions .,1,10437,1010437
"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA .",2,9647,1009647
"INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .",1,14411,1014411
"In China , Finnish Kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between Beijing and Shanghai in a 1.5 years ' time .",2,7378,1007378
The company has an annual turnover of EUR32 .8 m.,1,13731,1013731
"Jon Risfelt has previously held operational executive positions in Europolitan , Ericsson , SAS , American Express card and travel divisions , as well as Nyman & Schultz ( CEO ) , Vodafone Sweden ( CEO ) , and Gambro Renal Products ( CEO ) .",1,12928,1012928
This is the first time Finnair has been awarded an agreement with the UK government .,2,7121,1007121
M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 .,2,832,1000832
"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''",2,6493,1006493
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",0,5646,1005646
"Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories .",1,13601,1013601
"Also , a six-year historic analysis is provided for these markets .",1,11100,1011100
"The market share of Volkswagen passenger cars in Finland was 10.1 percent , Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent .",1,8531,1008531
Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .,0,5395,1005395
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,1,13401,1013401
"The move will be carried out by transferring HKScan 's production-related property , plant , equipment , as well as its holdings in subsidiaries and associate companies in the country to HKScan Finland .",1,9077,1009077
The transaction value is CAD 15 million approximately EUR 10 million .,1,9136,1009136
The energy shot is packed in a 100-millilitre bag with a screw cap .,1,4486,1004486
"In the Czech Republic , the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .",1,1656,1001656
"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .",0,5628,1005628
Finnish construction company YIT HEL : YTY1V said it had agreed to take over German facility engineering and facility systems firm Caverion for EUR73m USD90 .3 m .,1,13519,1013519
"The payment date is March 25 , 2010 .",1,7979,1007979
"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",1,8088,1008088
All depends on financing .,1,8759,1008759
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,2,5798,1005798
The solid fuel is heated before sludge is mixed therein . '',1,7111,1007111
"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",1,5254,1005254
"L&T is operative in Finland , Sweden , Latvia , Russia and Norway .",1,7817,1007817
"Currently , 95 % of Trainers House 's revenues are attributed to the Finnish market .",1,4753,1004753
Global Banking News - 28 September 2010 Tieto Corporation and Pohjola Bank ( PINK : POJLF ) are to cooperate on SWIFT services .,2,10778,1010778
The bridge will be built to the south of the existing bridge spanning the strait .,1,8429,1008429
"Honkarakenne also decided yesterday to sell 88,500 of its B-series shares to key staff members for EUR 2.90 per share .",1,1243,1001243
Nordic Walking was first used as a summer training method by cross-country skiers .,1,14346,1014346
"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October .",1,1513,1001513
"The final price will be specified by 14 May 2010 , the acquiring company said .",1,7941,1007941
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,0,5591,1005591
Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .,0,14003,1014003
The passenger tunnel is expected to be put into operation in 2009 .,1,13249,1013249
"In 2007 , the Group 's net sales stood at EUR 22 million and it had about 150 employees at the end of June , 2008 .",1,3630,1003630
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,0,14627,1014627
"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",0,5503,1005503
"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",1,3389,1003389
The combined value of the planned investments is about EUR 30mn .,1,13114,1013114
"The contract includes design , construction , delivery of equipment , installation and commissioning .",1,13152,1013152
"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands .",2,10363,1010363
Rental of building equipment accounted for 88 percent of the operating income .,1,279,1000279
The project also implies an underground parking lot for 56 vehicles .,1,4568,1004568
The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,2,852,1000852
"In the end of 2006 , the number of outlets will rise to 60-70 .",2,7496,1007496
Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .,1,14117,1014117
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,0,5155,1005155
"Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions , but also strengthen our capability to offer industry-leading products for our customers in China . ''",2,14014,1014014
Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .,1,7819,1007819
"The total donation amount is EUR 1,115,000 .",1,11593,1011593
7 March 2011 - Finnish IT company Digia Oyj HEL : DIG1V announced today an agreement with mobile-phone major Nokia Oyj HEL : NOK1V to acquire the commercial licensing and service business related to Nokia 's Qt technology .,2,13426,1013426
Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,2,437,1000437
Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .,1,943,1000943
The report will be emailed within 2 business days of an order .,1,1498,1001498
He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .,1,12406,1012406
"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall .",0,5480,1005480
Lean System supports change management and component purchasing extremely well .,2,9279,1009279
"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",2,2458,1002458
Our standardised services have met with a positive reception among our customers as well as at Itella .,2,6400,1006400
`` We could be there .,1,7686,1007686
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",0,2087,1002087
"The acquired plant has an annual capacity of some 300,000 tonnes and most of its production is sold to domestic customers .",1,1372,1001372
The company 's board of directors would propose a dividend of EUR0 .15 per share for 2005 .,1,13132,1013132
"According to latest information , Benefon will launch its Twig device on 20 September 2006 .",1,7675,1007675
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",2,10481,1010481
The fair value of investment properties was EUR 2 251.0 ( 1 281.4 ) million .,1,13935,1013935
Financial terms were n't disclosed .,1,8183,1008183
NASDAQ-listed Yahoo Inc has introduced a new service that enables Malaysians to take their favorite Internet content and services with them on their mobile phones .,2,3137,1003137
"ALEXANDRIA , Va. , March 20 -- Patrik Flykt and Timo Alakoski , both of Helsinki , Finland , and Tapio Suihko and Nadarajah Asokan , both of Espoo , Finland , have developed a method of mobility support of Internet-type protocol traffic in a communication system .",1,4722,1004722
"The order consists of outsourced application management , support and planning for Tecnotree and third-party applications .",1,5012,1005012
Two other sites will be included later on .,1,4066,1004066
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",2,5881,1005881
"Private equity investor CapMan , the owner of Finnish Lumene cosmetics company , is planning to list Lumene .",1,12688,1012688
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",0,8485,1008485
- Tikkurila inspires you to color your life .,1,6693,1006693
`` The new unit is a major investment in the Finnish media scene .,1,13417,1013417
"The end-to-end delivery combines the competencies and services from TietoEnators Telecom & Media , Processing & Network and Digital Innovations Business Areas .",1,11311,1011311
"Iggesunds Bruk in Sweden is one of the most advanced , fully integrated pulp and paperboard mills in the world .",2,11179,1011179
